"","Subject","Activity","Measurements","Mean"
"1",1,"LAYING","tBodyAcc-mean()-X",0.27806494
"2",1,"SITTING","tBodyAcc-mean()-X",0.27727452
"3",1,"STANDING","tBodyAcc-mean()-X",0.27796276
"4",1,"WALKING","tBodyAcc-mean()-X",0.28111697
"5",1,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.28134949
"6",1,"WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.26001212
"7",2,"LAYING","tBodyAcc-mean()-X",0.28013638
"8",2,"SITTING","tBodyAcc-mean()-X",0.27617497
"9",2,"STANDING","tBodyAcc-mean()-X",0.277432005
"10",2,"WALKING","tBodyAcc-mean()-X",0.26780915
"11",2,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.27873663
"12",2,"WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.25312469
"13",3,"LAYING","tBodyAcc-mean()-X",0.275107535
"14",3,"SITTING","tBodyAcc-mean()-X",0.275496175
"15",3,"STANDING","tBodyAcc-mean()-X",0.27739954
"16",3,"WALKING","tBodyAcc-mean()-X",0.26922953
"17",3,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.29480972
"18",3,"WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.26812381
"19",4,"LAYING","tBodyAcc-mean()-X",0.277321035
"20",4,"SITTING","tBodyAcc-mean()-X",0.276959065
"21",4,"STANDING","tBodyAcc-mean()-X",0.278423465
"22",4,"WALKING","tBodyAcc-mean()-X",0.27344678
"23",4,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.27377455
"24",4,"WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.269488595
"25",5,"LAYING","tBodyAcc-mean()-X",0.27735602
"26",5,"SITTING","tBodyAcc-mean()-X",0.27764631
"27",5,"STANDING","tBodyAcc-mean()-X",0.27834488
"28",5,"WALKING","tBodyAcc-mean()-X",0.276520065
"29",5,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.27857697
"30",5,"WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.27876023
"31",6,"LAYING","tBodyAcc-mean()-X",0.27672656
"32",6,"SITTING","tBodyAcc-mean()-X",0.27619458
"33",6,"STANDING","tBodyAcc-mean()-X",0.27651584
